life_expectancy,adult_mortality,infant_deaths,alcohol,percentage_expenditure,hepatitis_b,measles,bmi,under-five_deaths,polio,total_expenditure,diphtheria,hiv/aids,gdp,population,thinness_10-19_years,thinness_5-9_years,income_composition_of_resources
81.3,66.0,1,10.76,1077.712092,94.0,65,62.9,1,92.0,8.78,92.0,0.1,49664.6854,212492.0,0.7,0.6,0.9209999999999999
81.3,66.0,1,10.56,872.5986092,94.0,11,62.5,2,92.0,8.53,92.0,0.1,4991.98289,28276.0,0.7,0.6,0.9179999999999999
81.2,66.0,1,10.31,1077.712092,95.0,0,62.0,2,92.0,8.49,92.0,0.1,36118.28381,26979.0,0.7,0.6,0.915
81.0,67.0,1,10.3,579.1331637,95.0,10,61.5,2,92.0,8.45,92.0,0.1,3416.71483,23948.0,0.7,0.6,0.91
86.0,69.0,1,9.84,588.568371,95.0,70,6.9,1,92.0,8.57,92.0,0.1,3472.3797700000005,21274.0,0.7,0.6,0.9079999999999999
83.0,71.0,1,9.97,1077.712092,95.0,91,6.3,1,92.0,8.32,93.0,0.1,23465.38559,198954.0,0.7,0.7,0.905
79.9,73.0,1,9.84,46.387181899999995,95.0,32,59.6,2,92.0,8.39,92.0,0.1,281.81763,196514.0,0.7,0.7,0.902
79.9,75.0,1,9.53,1077.712092,94.0,141,59.0,2,91.0,8.18,92.0,0.1,19517.84168,19413.0,0.7,0.7,0.899
79.5,78.0,1,10.17,347.18736,,108,58.2,2,9.0,8.8,9.0,0.1,2169.9210000000003,19153.0,0.7,0.7,0.897
81.5,65.0,0,,0.0,93.0,309,57.6,0,93.0,,93.0,0.1,43665.947,8633169.0,1.9,2.1,0.892
81.4,66.0,0,12.32,1077.712092,98.0,117,57.1,0,98.0,11.21,98.0,0.1,51322.63997,8541575.0,1.8,2.0,0.892
81.1,68.0,0,11.82,90.58501176,95.0,0,56.6,0,95.0,11.14,95.0,0.1,554.71532,8479375.0,1.8,2.0,0.887
88.0,7.0,0,12.26,1077.712092,92.0,36,56.1,0,92.0,11.17,92.0,0.1,48333.57273,8429991.0,1.8,2.0,0.884
88.0,73.0,0,12.04,1077.712092,89.0,68,55.7,0,89.0,3.1,89.0,0.1,51126.741389999996,8391643.0,1.7,2.0,0.88
84.0,75.0,0,12.1,1077.712092,86.0,52,55.2,0,86.0,11.17,86.0,0.1,46657.629,836344.0,1.7,1.9,0.872
82.0,77.0,0,11.3,1077.712092,83.0,49,54.7,0,83.0,11.19,83.0,0.1,47654.187210000004,8343323.0,1.7,1.9,0.87
84.0,76.0,0,12.0,1077.712092,83.0,448,54.2,0,83.0,3.1,83.0,0.1,51386.37665,8321496.0,1.7,1.9,0.8640000000000001
81.0,8.0,0,12.5,1077.712092,85.0,20,53.7,0,85.0,3.1,85.0,0.1,46586.6525,8295487.0,1.7,1.9,0.86
79.8,81.0,0,12.4,69.92899358,83.0,23,53.2,0,83.0,3.1,83.0,0.1,443.99361,8268641.0,1.7,1.9,0.8540000000000001
79.4,85.0,0,12.4,1077.712092,86.0,9,52.7,0,86.0,3.1,86.0,0.1,38242.4252,8227829.0,1.7,1.9,0.848
79.3,86.0,0,12.1,1077.712092,83.0,15,52.2,0,83.0,3.1,83.0,0.1,36693.4262,8171966.0,1.7,1.9,0.841
78.8,88.0,0,12.2,504.4308735,83.0,90,51.7,0,84.0,3.1,84.0,0.1,3212.9355,8121423.0,1.7,1.9,0.8370000000000001
78.7,9.0,0,12.5,1077.712092,81.0,0,51.2,0,82.0,3.1,83.0,0.1,26351.37568,881957.0,1.7,1.9,0.847
78.6,92.0,0,12.4,1077.712092,55.0,0,5.6,0,83.0,3.1,84.0,0.1,24489.73553,842293.0,1.7,1.9,0.8370000000000001
78.1,96.0,0,13.2,1077.712092,55.0,0,5.1,0,71.0,3.1,81.0,0.1,24517.26745,811566.0,1.7,1.9,0.833
72.7,118.0,5,,0.0,96.0,0,52.5,6,98.0,,96.0,0.1,55.31381999999999,9649341.0,2.8,2.9,0.758
72.5,119.0,5,0.01,306.1824313,94.0,0,51.5,6,97.0,6.4,94.0,0.1,7891.299776000001,953579.0,2.8,2.9,0.752
72.2,121.0,5,2.14,275.6514934,93.0,164,5.6,6,96.0,5.54,93.0,0.1,7875.756953,941681.0,2.8,2.8,0.745
71.9,123.0,5,0.01,285.6103912,88.0,0,49.7,6,92.0,5.37,89.0,0.1,7496.335728,9295784.0,2.8,2.8,0.742
71.6,125.0,5,1.98,263.14269900000005,84.0,0,48.8,6,91.0,5.1,87.0,0.1,7189.691229000001,917382.0,2.8,2.9,0.741
71.1,13.0,5,1.98,246.56860079999998,55.0,0,48.0,6,85.0,5.33,81.0,0.1,5842.85784,954332.0,2.8,2.9,0.737
78.0,132.0,6,2.1,22.48638351,74.0,0,47.3,6,84.0,5.85,81.0,0.1,495.29479100000003,8947243.0,2.8,2.9,0.728
73.0,141.0,6,1.18,206.26161340000002,68.0,5,46.6,6,85.0,4.37,81.0,0.1,5574.6382,87634.0,2.8,2.9,0.7190000000000001
73.0,14.0,6,1.02,176.01071059999998,62.0,0,45.9,7,81.0,5.1,79.0,0.1,3851.437869,85813.0,2.8,2.9,0.708
69.2,154.0,6,0.85,105.6337264,55.0,222,45.3,7,8.0,6.17,78.0,0.1,2473.8577600000003,848455.0,2.9,2.9,0.682
68.4,162.0,6,0.73,81.28883085,55.0,831,44.7,7,79.0,7.86,75.0,0.1,1578.4239,839185.0,2.9,3.0,0.675
68.4,154.0,6,0.62,8.59680496,55.0,827,44.2,8,78.0,7.92,77.0,0.1,145.2163,8365.0,3.0,3.0,0.6679999999999999
67.8,154.0,7,0.55,42.41491183,55.0,831,43.6,8,79.0,6.56,77.0,0.1,883.6439965,82341.0,3.0,3.0,0.659
67.8,146.0,7,0.55,39.33253687,55.0,831,43.1,9,8.0,4.47,76.0,0.1,763.73858,817195.0,3.1,3.1,0.6509999999999999
67.5,151.0,8,0.51,4.104190077,,574,42.6,10,77.0,4.48,77.0,0.1,73.6838434,81112.0,3.1,3.1,0.642
66.6,16.0,9,0.65,35.09462644,,210,42.1,11,75.0,4.67,76.0,0.1,655.974326,8486.0,3.2,3.1,0.636
76.1,147.0,0,,0.0,95.0,0,64.5,0,95.0,,95.0,0.1,,,2.5,2.5,0.79
75.4,16.0,0,9.45,0.0,96.0,0,63.8,0,96.0,7.74,96.0,0.1,,,2.5,2.5,0.789
74.8,172.0,0,9.42,0.0,97.0,0,63.2,0,97.0,7.5,97.0,0.1,,,2.5,2.5,0.79
74.9,167.0,0,9.5,0.0,96.0,0,62.6,0,99.0,7.43,98.0,0.2,,,2.5,2.5,0.789
75.0,162.0,0,9.34,0.0,95.0,0,62.0,0,97.0,7.63,98.0,0.1,,,2.5,2.5,0.7879999999999999
75.0,161.0,0,9.19,0.0,98.0,0,61.3,0,97.0,7.44,98.0,0.2,,,2.5,2.5,0.7879999999999999
74.6,168.0,0,9.29,0.0,95.0,0,6.7,0,97.0,7.43,96.0,0.1,,,2.5,2.5,0.7909999999999999
74.5,167.0,0,10.15,0.0,55.0,0,6.1,0,93.0,7.3,93.0,0.1,,,2.5,2.5,0.7909999999999999
74.4,167.0,0,10.75,0.0,93.0,0,59.4,0,95.0,7.8,95.0,0.1,,,2.5,2.5,0.79
74.2,171.0,0,11.07,0.0,96.0,0,58.7,0,94.0,6.93,95.0,0.1,,,2.5,2.5,0.7879999999999999
74.1,172.0,0,10.49,0.0,93.0,0,58.1,0,93.0,5.95,93.0,0.1,,,2.6,2.5,0.7859999999999999
73.8,174.0,0,10.1,0.0,93.0,0,57.4,0,92.0,6.2,93.0,0.1,,,2.6,2.5,0.784
73.2,189.0,0,10.68,0.0,88.0,0,56.7,0,93.0,5.62,92.0,0.1,,,2.6,2.5,0.7829999999999999
73.1,19.0,0,10.85,0.0,89.0,0,56.0,0,93.0,5.26,94.0,0.1,,,2.6,2.6,0.7809999999999999
72.9,189.0,0,11.64,0.0,55.0,0,55.2,0,98.0,5.15,98.0,0.2,,,2.7,2.6,0.779
72.6,192.0,0,12.15,0.0,,0,54.4,0,91.0,5.21,98.0,0.1,,,2.7,2.6,0.0
76.9,69.0,0,,0.0,98.0,0,63.6,0,98.0,,98.0,0.1,22688.878240000002,,6.2,6.1,0.823
76.8,7.0,0,1.57,367.2556742,98.0,46,62.9,0,98.0,4.98,98.0,0.1,24983.3792,,6.1,6.0,0.82
76.7,7.0,0,1.65,3.968695982,99.0,0,62.2,0,99.0,4.69,98.0,0.1,251.18329,,6.1,6.0,0.815
76.5,71.0,0,1.7,1077.712092,99.0,0,61.5,0,99.0,4.37,98.0,0.1,23649.36661,,6.1,6.0,0.812
76.1,76.0,0,1.66,197.77346809999997,99.0,0,6.8,0,99.0,3.4,98.0,0.1,2281.1242,,6.1,6.0,0.812
76.1,73.0,0,1.93,266.7696122,99.0,0,6.1,0,99.0,3.64,98.0,0.1,2722.1389,,6.0,5.9,0.81
76.0,74.0,0,1.95,332.9347646,98.0,3,59.3,0,97.0,3.79,98.0,0.1,19356.67236,,6.0,5.9,0.8140000000000001
75.8,76.0,0,2.0,231.5478912,97.0,2,58.5,0,97.0,3.17,97.0,0.1,2367.56535,,6.0,5.9,0.815
75.6,77.0,0,2.0,278.3602806,97.0,7,57.6,0,97.0,3.8,97.0,0.1,2977.1153,,6.1,5.9,0.813
75.5,79.0,0,2.1,170.7374027,98.0,3,56.8,0,98.0,3.8,98.0,0.1,1937.9954899999998,,6.1,5.9,0.81
75.3,81.0,0,2.05,1077.712092,98.0,4,56.1,0,98.0,3.16,98.0,0.1,17959.17854,,6.1,5.9,0.8059999999999999
75.2,83.0,0,2.16,1077.712092,98.0,11,55.6,0,98.0,3.37,98.0,0.1,15846.47641,,6.1,5.9,0.8029999999999999
75.0,85.0,0,2.16,1077.712092,98.0,12,55.2,0,97.0,3.74,97.0,0.1,14221.99259,,6.1,5.9,0.7979999999999999
74.9,87.0,0,1.99,106.43033359999998,98.0,8,55.0,0,98.0,3.89,98.0,0.1,1312.33457,,6.2,5.9,0.7959999999999999
